stock_code_a,description_a,stock_code_b,description_b,times_bought_together
20726,LUNCH BAG WOODLAND,22382,LUNCH BAG SPACEBOY DESIGN ,479
22960,JAM MAKING SET WITH JARS,22961,JAM MAKING SET PRINTED,472
20728,LUNCH BAG CARS BLUE,22383,LUNCH BAG SUKI DESIGN ,471
22727,ALARM CLOCK BAKELIKE RED ,22728,ALARM CLOCK BAKELIKE PINK,470
22386,JUMBO BAG PINK POLKADOT,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,468
20719,WOODLAND CHARLOTTE BAG,22355,CHARLOTTE BAG SUKI DESIGN,456
22382,LUNCH BAG SPACEBOY DESIGN ,22383,LUNCH BAG SUKI DESIGN ,455
21212,PACK OF 72 RETROSPOT CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,452
22383,LUNCH BAG SUKI DESIGN ,23206,LUNCH BAG APPLE DESIGN,449
20712,JUMBO BAG WOODLAND ANIMALS,21931,JUMBO STORAGE BAG SUKI,449
20726,LUNCH BAG WOODLAND,20728,LUNCH BAG CARS BLUE,448
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,85099B,JUMBO BAG RED RETROSPOT,448
20726,LUNCH BAG WOODLAND,20727,LUNCH BAG  BLACK SKULL.,444
21212,PACK OF 72 RETROSPOT CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,429
20712,JUMBO BAG WOODLAND ANIMALS,22386,JUMBO BAG PINK POLKADOT,429
22385,JUMBO BAG SPACEBOY DESIGN,85099B,JUMBO BAG RED RETROSPOT,429
22382,LUNCH BAG SPACEBOY DESIGN ,22384,LUNCH BAG PINK POLKADOT,428
20724,RED RETROSPOT CHARLOTTE BAG,85099B,JUMBO BAG RED RETROSPOT,425
23202,JUMBO BAG VINTAGE LEAF,85099B,JUMBO BAG RED RETROSPOT,425
21931,JUMBO STORAGE BAG SUKI,85099C,JUMBO  BAG BAROQUE BLACK WHITE,422
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099C,JUMBO  BAG BAROQUE BLACK WHITE,421
22726,ALARM CLOCK BAKELIKE GREEN,22728,ALARM CLOCK BAKELIKE PINK,418
21929,JUMBO BAG PINK VINTAGE PAISLEY,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,417
22383,LUNCH BAG SUKI DESIGN ,22384,LUNCH BAG PINK POLKADOT,415
22379,RECYCLING BAG RETROSPOT ,85099B,JUMBO BAG RED RETROSPOT,415
20727,LUNCH BAG  BLACK SKULL.,23206,LUNCH BAG APPLE DESIGN,415
20723,STRAWBERRY CHARLOTTE BAG,22355,CHARLOTTE BAG SUKI DESIGN,415
21930,JUMBO STORAGE BAG SKULLS,85099B,JUMBO BAG RED RETROSPOT,414
23201,JUMBO BAG ALPHABET,85099B,JUMBO BAG RED RETROSPOT,414
22386,JUMBO BAG PINK POLKADOT,85099C,JUMBO  BAG BAROQUE BLACK WHITE,414
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22722,SET OF 6 SPICE TINS PANTRY DESIGN,410
22355,CHARLOTTE BAG SUKI DESIGN,22356,CHARLOTTE BAG PINK POLKADOT,410
23199,JUMBO BAG APPLES,23200,JUMBO BAG PEARS,406
20719,WOODLAND CHARLOTTE BAG,20723,STRAWBERRY CHARLOTTE BAG,406
20726,LUNCH BAG WOODLAND,22384,LUNCH BAG PINK POLKADOT,396
85099B,JUMBO BAG RED RETROSPOT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,396
22423,REGENCY CAKESTAND 3 TIER,47566,PARTY BUNTING,395
20719,WOODLAND CHARLOTTE BAG,22356,CHARLOTTE BAG PINK POLKADOT,395
21931,JUMBO STORAGE BAG SUKI,DOT,DOTCOM POSTAGE,395
22666,RECIPE BOX PANTRY YELLOW DESIGN,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,394
20724,RED RETROSPOT CHARLOTTE BAG,20725,LUNCH BAG RED RETROSPOT,394
22382,LUNCH BAG SPACEBOY DESIGN ,23206,LUNCH BAG APPLE DESIGN,393
22112,CHOCOLATE HOT WATER BOTTLE,22835,HOT WATER BOTTLE I AM SO POORLY,392
22423,REGENCY CAKESTAND 3 TIER,22698,PINK REGENCY TEACUP AND SAUCER,392
22457,NATURAL SLATE HEART CHALKBOARD ,85123A,WHITE HANGING HEART T-LIGHT HOLDER,392
20713,JUMBO BAG OWLS,85099B,JUMBO BAG RED RETROSPOT,391
23199,JUMBO BAG APPLES,23201,JUMBO BAG ALPHABET,391
20712,JUMBO BAG WOODLAND ANIMALS,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,389
47566,PARTY BUNTING,85123A,WHITE HANGING HEART T-LIGHT HOLDER,389
20726,LUNCH BAG WOODLAND,22383,LUNCH BAG SUKI DESIGN ,389
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,388
22382,LUNCH BAG SPACEBOY DESIGN ,22662,LUNCH BAG DOLLY GIRL DESIGN,388
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22960,JAM MAKING SET WITH JARS,380
21929,JUMBO BAG PINK VINTAGE PAISLEY,22386,JUMBO BAG PINK POLKADOT,379
20723,STRAWBERRY CHARLOTTE BAG,22356,CHARLOTTE BAG PINK POLKADOT,379
21931,JUMBO STORAGE BAG SUKI,23199,JUMBO BAG APPLES,376
20727,LUNCH BAG  BLACK SKULL.,85099B,JUMBO BAG RED RETROSPOT,376
22469,HEART OF WICKER SMALL,85123A,WHITE HANGING HEART T-LIGHT HOLDER,373
