invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,is_cancellation,line_total
580098,23084,"RABBIT NIGHT LIGHT",6,"2011-12-01 15:05:00",2.08,15373,"United Kingdom",0,12.48
547066,22333,"RETROSPOT PARTY BAG + STICKER SET",8,"2011-03-20 13:41:00",1.65,12921,"United Kingdom",0,13.2
561686,51014C,"FEATHER PEN,COAL BLACK",24,"2011-07-29 08:29:00",0.39,13148,"United Kingdom",0,9.36
540098,20975,"12 PENCILS SMALL TUBE RED RETROSPOT",1,"2011-01-04 15:50:00",0.65,16241,"United Kingdom",0,0.65
551839,21928,"JUMBO BAG SCANDINAVIAN BLUE PAISLEY",2,"2011-05-04 13:34:00",2.08,15311,"United Kingdom",0,4.16
558116,20679,"EDWARDIAN PARASOL RED",1,"2011-06-27 09:11:00",12.46,,"United Kingdom",0,12.46
567792,23314,"VINTAGE CHRISTMAS TABLECLOTH",12,"2011-09-22 11:40:00",12.5,17581,"United Kingdom",0,150.0
545988,22243,"5 HOOK HANGER RED MAGIC TOADSTOOL",12,"2011-03-08 12:52:00",1.65,12662,Germany,0,19.799999999999997
569737,22090,"PAPER BUNTING RETROSPOT",6,"2011-10-06 10:45:00",2.95,16295,"United Kingdom",0,17.700000000000003
576618,22108,"PING! MICROWAVE PLATE",1,"2011-11-15 17:00:00",3.29,,"United Kingdom",0,3.29
559514,21033,"JUMBO BAG CHARLIE AND LOLA TOYS",1,"2011-07-08 15:57:00",4.13,,"United Kingdom",0,4.13
560780,84519B,"CARROT CHARLIE+LOLA COASTER SET",1,"2011-07-21 09:31:00",5.79,,"United Kingdom",0,5.79
537237,22665,"RECIPE BOX BLUE SKETCHBOOK DESIGN",2,"2010-12-06 09:58:00",5.91,,"United Kingdom",0,11.82
558633,82580,"BATHROOM METAL SIGN",25,"2011-06-30 19:13:00",0.55,16745,"United Kingdom",0,13.750000000000002
557644,22335,"HEART DECORATION PAINTED ZINC ",1,"2011-06-21 17:06:00",1.25,,"United Kingdom",0,1.25
562158,23000,"TRAVEL CARD WALLET TRANSPORT",1,"2011-08-03 11:45:00",0.42,15039,"United Kingdom",0,0.42
545227,21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",24,"2011-03-01 09:35:00",0.85,12428,Finland,0,20.4
570168,22960,"JAM MAKING SET WITH JARS",2,"2011-10-07 14:05:00",4.25,17596,"United Kingdom",0,8.5
554441,85015,"SET OF 12  VINTAGE POSTCARD SET",24,"2011-05-24 12:22:00",0.65,13213,"United Kingdom",0,15.600000000000001
541827,22211,"WOOD STAMP SET FLOWERS",1,"2011-01-21 17:05:00",1.63,,"United Kingdom",0,1.63
564436,20829,"GLITTER HANGING BUTTERFLY STRING",3,"2011-08-25 12:06:00",2.1,17841,"United Kingdom",0,6.3000000000000007
554310,23112,"PARISIENNE CURIO CABINET",1,"2011-05-23 15:25:00",14.96,,"United Kingdom",0,14.96
572669,23242,"TREASURE TIN BUFFALO BILL ",4,"2011-10-25 13:10:00",2.08,16549,"United Kingdom",0,8.32
574067,22942,"CHRISTMAS LIGHTS 10 SANTAS ",12,"2011-11-02 14:50:00",7.65,14088,"United Kingdom",0,91.800000000000011
543652,21063,"PARTY INVITES JAZZ HEARTS",12,"2011-02-11 10:15:00",0.85,15544,"United Kingdom",0,10.2
552726,22274,"FELTCRAFT DOLL EMILY",6,"2011-05-11 10:31:00",2.95,14920,"United Kingdom",0,17.700000000000003
574777,84836,"ZINC METAL HEART DECORATION",24,"2011-11-07 10:23:00",1.25,17761,"United Kingdom",0,30.0
542373,22711,"WRAP CIRCUS PARADE",25,"2011-01-27 13:38:00",0.42,16767,"United Kingdom",0,10.5
580729,22308,"TEA COSY BLUE STRIPE",1,"2011-12-05 17:24:00",4.96,,"United Kingdom",0,4.96
559120,22417,"PACK OF 60 SPACEBOY CAKE CASES",5,"2011-07-06 12:18:00",0.55,16393,"United Kingdom",0,2.75
546911,21671,"RED SPOT CERAMIC DRAWER KNOB",12,"2011-03-17 19:47:00",1.25,17725,"United Kingdom",0,15.0
576365,22993,"SET OF 4 PANTRY JELLY MOULDS",140,"2011-11-14 17:55:00",2.95,,"United Kingdom",0,413.0
581219,84661A,"WHITE SQUARE TABLE CLOCK",1,"2011-12-08 09:28:00",4.96,,"United Kingdom",0,4.96
559816,90003C,"MIDNIGHT BLUE PAIR HEART HAIR SLIDE",1,"2011-07-12 16:11:00",3.73,,"United Kingdom",0,3.73
564484,48194,"DOORMAT HEARTS",1,"2011-08-25 13:46:00",7.95,13634,"United Kingdom",0,7.95
568721,21014,"SWISS CHALET TREE DECORATION ",1,"2011-09-28 16:24:00",0.83,,"United Kingdom",0,0.83
562951,23061,"VINTAGE EMBOSSED HEART",12,"2011-08-11 09:57:00",1.25,14462,"United Kingdom",0,15.0
578067,23372,"SET 36 COLOUR PENCILS DOLLY GIRL",2,"2011-11-22 15:43:00",2.46,,"United Kingdom",0,4.92
544677,21664,"RIDGED GLASS STORAGE JAR CREAM LID",1,"2011-02-22 16:13:00",3.75,18196,"United Kingdom",0,3.75
563613,84912B,"GREEN ROSE WASHBAG",4,"2011-08-18 08:49:00",3.75,12688,Israel,0,15.0
549183,22957,"SET 3 PAPER VINTAGE CHICK PAPER EGG",12,"2011-04-07 09:16:00",2.95,14239,"United Kingdom",0,35.400000000000006
572884,22797,"CHEST OF DRAWERS GINGHAM HEART ",1,"2011-10-26 13:44:00",16.95,13924,"United Kingdom",0,16.95
536690,84406B,"CREAM CUPID HEARTS COAT HANGER",6,"2010-12-02 12:25:00",2.75,17850,"United Kingdom",0,16.5
547685,22628,"PICNIC BOXES SET OF 3 RETROSPOT ",4,"2011-03-24 14:47:00",4.95,12408,Belgium,0,19.8
581219,20712,"JUMBO BAG WOODLAND ANIMALS",1,"2011-12-08 09:28:00",4.13,,"United Kingdom",0,4.13
545716,85014a,"BLACK/BLUE POLKADOT UMBRELLA",1,"2011-03-07 10:15:00",12.46,,"United Kingdom",0,12.46
569365,23322,"LARGE WHITE HEART OF WICKER",9,"2011-10-03 15:24:00",1.97,18102,"United Kingdom",0,17.73
542614,22469,"HEART OF WICKER SMALL",12,"2011-01-30 14:37:00",1.65,15708,"United Kingdom",0,19.799999999999997
576933,23244,"ROUND STORAGE TIN VINTAGE LEAF",2,"2011-11-17 11:29:00",1.95,15529,"United Kingdom",0,3.9
544700,22617,"BAKING SET SPACEBOY DESIGN",1,"2011-02-23 10:10:00",4.95,18041,"United Kingdom",0,4.95
549577,22208,"WOOD STAMP SET THANK YOU",12,"2011-04-11 08:16:00",1.65,14286,"United Kingdom",0,19.799999999999997
581176,22795,"SWEETHEART RECIPE BOOK STAND",16,"2011-12-07 15:19:00",5.95,14646,Netherlands,0,95.2
576599,22489,"PACK OF 12 TRADITIONAL CRAYONS",6,"2011-11-15 15:06:00",0.42,14544,"United Kingdom",0,2.52
577297,47503A,"ASS FLORAL PRINT MULTI SCREWDRIVER",4,"2011-11-18 12:48:00",0.42,14593,"United Kingdom",0,1.68
576665,51014C,"FEATHER PEN,COAL BLACK",12,"2011-11-16 11:46:00",0.39,17841,"United Kingdom",0,4.68
540977,21071,"VINTAGE BILLBOARD DRINK ME MUG",1,"2011-01-12 15:01:00",2.51,,"United Kingdom",0,2.51
550207,21668,"RED STRIPE CERAMIC DRAWER KNOB",2,"2011-04-15 10:38:00",2.46,,"United Kingdom",0,4.92
538826,21357,"TOAST ITS - DINOSAUR",2,"2010-12-14 12:58:00",1.25,12370,Cyprus,0,2.5
538566,22595,"CHRISTMAS GINGHAM HEART",7,"2010-12-13 11:21:00",1.66,,"United Kingdom",0,11.62
540681,85049H,"URBAN BLACK RIBBONS ",2,"2011-01-10 16:25:00",0.85,,"United Kingdom",0,1.7
556042,22746,"POPPY'S PLAYHOUSE LIVINGROOM ",2,"2011-06-08 12:44:00",2.1,14367,"United Kingdom",0,4.2
568208,23318,"BOX OF 6 MINI VINTAGE CRACKERS",6,"2011-09-25 15:35:00",2.49,12783,Portugal,0,14.940000000000001
576176,84997C,"CHILDRENS CUTLERY POLKADOT BLUE",4,"2011-11-14 11:04:00",4.15,16936,"United Kingdom",0,16.6
571508,23247,"BISCUIT TIN 50'S CHRISTMAS",1,"2011-10-17 15:27:00",5.79,,"United Kingdom",0,5.79
542002,20723,"STRAWBERRY CHARLOTTE BAG",30,"2011-01-25 10:57:00",0.72,14298,"United Kingdom",0,21.599999999999998
568222,23207,"LUNCH BAG ALPHABET DESIGN",10,"2011-09-26 10:06:00",1.65,16603,"United Kingdom",0,16.5
568135,21555,"CERAMIC STRAWBERRY TRINKET TRAY",1,"2011-09-23 17:04:00",2.46,,"United Kingdom",0,2.46
548504,22041,"RECORD FRAME 7"" SINGLE SIZE ",1,"2011-03-31 14:33:00",4.96,,"United Kingdom",0,4.96
571640,22197,"POPCORN HOLDER",70,"2011-10-18 12:01:00",0.85,17203,"United Kingdom",0,59.5
579470,22866,"HAND WARMER SCOTTY DOG DESIGN",3,"2011-11-29 15:06:00",2.1,16549,"United Kingdom",0,6.3000000000000007
571665,22906,"12 MESSAGE CARDS WITH ENVELOPES",12,"2011-10-18 12:59:00",1.65,12540,Spain,0,19.799999999999997
560090,20765,"CHRYSANTHEMUM SKETCHBOOK ",1,"2011-07-14 16:46:00",7.46,,"United Kingdom",0,7.46
578445,22385,"JUMBO BAG SPACEBOY DESIGN",2,"2011-11-24 12:25:00",2.08,15005,"United Kingdom",0,4.16
555507,22030,"SWALLOWS GREETING CARD",12,"2011-06-03 16:39:00",0.42,16186,"United Kingdom",0,5.04
565434,23547,"WRAP FLOWER SHOP  ",25,"2011-09-04 13:35:00",0.42,12867,"United Kingdom",0,10.5
564323,20713,"JUMBO BAG OWLS",200,"2011-08-24 13:24:00",1.75,13694,"United Kingdom",0,350.0
547960,22273,"FELTCRAFT DOLL MOLLY",1,"2011-03-28 15:27:00",2.95,15644,"United Kingdom",0,2.95
578324,82482,"WOODEN PICTURE FRAME WHITE FINISH",2,"2011-11-23 17:32:00",2.95,17530,"United Kingdom",0,5.9
552514,22620,"4 TRADITIONAL SPINNING TOPS",1,"2011-05-09 16:30:00",2.46,,"United Kingdom",0,2.46
562950,22753,"SMALL YELLOW BABUSHKA NOTEBOOK ",12,"2011-08-11 09:56:00",0.85,15608,"United Kingdom",0,10.2
560918,22670,"FRENCH WC SIGN BLUE METAL",24,"2011-07-21 18:27:00",1.25,14849,"United Kingdom",0,30.0
573564,20705,"MRS ROBOT SOFT TOY",2,"2011-10-31 13:58:00",6.95,16127,"United Kingdom",0,13.9
568327,23316,"RED REFECTORY CLOCK ",2,"2011-09-26 14:02:00",9.95,15492,"United Kingdom",0,19.9
555923,DOT,"DOTCOM POSTAGE",1,"2011-06-07 17:09:00",222.18,,"United Kingdom",0,222.18
538903,84947,"ANTIQUE SILVER TEA GLASS ENGRAVED",12,"2010-12-15 10:17:00",1.25,13496,"United Kingdom",0,15.0
572321,22417,"PACK OF 60 SPACEBOY CAKE CASES",24,"2011-10-24 08:59:00",0.55,15592,"United Kingdom",0,13.200000000000001
564631,21985,"PACK OF 12 HEARTS DESIGN TISSUES ",24,"2011-08-26 11:54:00",0.29,17451,"United Kingdom",0,6.9599999999999991
572296,84832,"ZINC WILLIE WINKIE  CANDLE STICK",1,"2011-10-23 14:28:00",0.85,13598,"United Kingdom",0,0.85
578065,85025B,"EAU DE NILE HEART SHAPE PHOTO FRAME",5,"2011-11-22 15:41:00",3.29,,"United Kingdom",0,16.45
571280,22551,"PLASTERS IN TIN SPACEBOY",2,"2011-10-16 13:08:00",1.65,18122,"United Kingdom",0,3.3
547909,85186C,"BUNNY EGG GARLAND",16,"2011-03-28 12:22:00",0.42,15033,"United Kingdom",0,6.72
554132,21989,"PACK OF 20 SKULL PAPER NAPKINS",12,"2011-05-23 09:43:00",0.85,12360,Austria,0,10.2
576689,21030,"SPACE CADET RED",10,"2011-11-16 12:18:00",1.25,16657,"United Kingdom",0,12.5
546542,21040,"MODERN VINTAGE COTTON SHOPPING BAG",5,"2011-03-14 15:13:00",0.79,13263,"United Kingdom",0,3.95
556116,22066,"LOVE HEART TRINKET POT",48,"2011-06-09 09:44:00",0.39,15214,"United Kingdom",0,18.72
571548,22550,"HOLIDAY FUN LUDO",4,"2011-10-18 07:56:00",3.75,15505,"United Kingdom",0,15.0
573289,22726,"ALARM CLOCK BAKELIKE GREEN",8,"2011-10-28 14:44:00",3.75,12705,Germany,0,30.0
551284,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",1,"2011-04-27 14:05:00",6.95,15005,"United Kingdom",0,6.95
577297,23266,"SET OF 3 WOODEN STOCKING DECORATION",4,"2011-11-18 12:48:00",1.25,14593,"United Kingdom",0,5.0
576933,21985,"PACK OF 12 HEARTS DESIGN TISSUES ",2,"2011-11-17 11:29:00",0.39,15529,"United Kingdom",0,0.78
550633,22854,"CREAM SWEETHEART EGG HOLDER",2,"2011-04-19 14:57:00",4.95,17449,"United Kingdom",0,9.9
542601,22723,"SET OF 6 HERB TINS SKETCHBOOK",2,"2011-01-30 11:52:00",3.95,16897,"United Kingdom",0,7.9
566771,21012,"ANTIQUE ALL GLASS CANDLESTICK",6,"2011-09-15 09:34:00",2.1,15322,"United Kingdom",0,12.600000000000001
576066,23581,"JUMBO BAG PAISLEY PARK",1,"2011-11-13 15:44:00",2.08,16898,"United Kingdom",0,2.08
564856,22262,"FELT EGG COSY CHICKEN",36,"2011-08-31 09:11:00",0.85,12477,Germany,0,30.599999999999998
574368,22699,"ROSES REGENCY TEACUP AND SAUCER ",6,"2011-11-04 10:59:00",2.95,13004,"United Kingdom",0,17.700000000000003
567668,21000,"ROSE DU SUD COSMETICS BAG",4,"2011-09-21 15:29:00",3.29,,"United Kingdom",0,13.16
570455,22209,"WOOD STAMP SET HAPPY BIRTHDAY",2,"2011-10-10 15:27:00",0.83,14529,"United Kingdom",0,1.66
546092,21868,"POTTING SHED TEA MUG",12,"2011-03-09 11:54:00",1.25,17138,"United Kingdom",0,15.0
542423,22630,"DOLLY GIRL LUNCH BOX",24,"2011-01-28 09:09:00",1.95,15057,"United Kingdom",0,46.8
579297,21989,"PACK OF 20 SKULL PAPER NAPKINS",7,"2011-11-29 11:23:00",1.63,,"United Kingdom",0,11.41
574509,23571,"TRADITIONAL NAUGHTS & CROSSES",4,"2011-11-04 13:25:00",1.65,16012,"United Kingdom",0,6.6
554714,21169,"YOU'RE CONFUSING ME METAL SIGN ",1,"2011-05-26 10:44:00",4.13,,"United Kingdom",0,4.13
556252,21213,"PACK OF 72 SKULL CAKE CASES",24,"2011-06-09 16:44:00",0.55,16779,"United Kingdom",0,13.200000000000001
560225,21090,"SET/6 COLLAGE PAPER PLATES",4,"2011-07-15 16:27:00",0.83,,"United Kingdom",0,3.32
539437,22250,"DECORATION  BUTTERFLY  MAGIC GARDEN",2,"2010-12-17 14:54:00",1.66,,"United Kingdom",0,3.32
581439,22212,"FOUR HOOK  WHITE LOVEBIRDS",2,"2011-12-08 16:30:00",4.13,,"United Kingdom",0,8.26
568567,21934,"SKULL SHOULDER BAG",4,"2011-09-27 18:41:00",1.63,,"United Kingdom",0,6.52
579187,23521,"WALL ART CAT AND BIRD ",1,"2011-11-28 15:31:00",5.79,,"United Kingdom",0,5.79
567424,21974,"SET OF 36 PAISLEY FLOWER DOILIES",4,"2011-09-20 11:16:00",1.45,16369,"United Kingdom",0,5.8
571408,23335,"EGG FRYING PAN IVORY ",1,"2011-10-17 12:22:00",2.08,15012,"United Kingdom",0,2.08
539437,84950,"ASSORTED COLOUR T-LIGHT HOLDER",24,"2010-12-17 14:54:00",0.99,,"United Kingdom",0,23.759999999999998
547923,22602,"RETROSPOT WOODEN HEART DECORATION",12,"2011-03-28 13:35:00",0.85,14344,"United Kingdom",0,10.2
557889,22961,"JAM MAKING SET PRINTED",12,"2011-06-23 13:51:00",1.45,12412,Denmark,0,17.4
540418,20963,"APPLE BATH SPONGE",1,"2011-01-07 11:04:00",2.51,,"United Kingdom",0,2.51
564357,22964,"3 PIECE SPACEBOY COOKIE CUTTER SET",6,"2011-08-24 15:51:00",2.1,14973,"United Kingdom",0,12.600000000000001
569545,22879,"NUMBER TILE VINTAGE FONT 0",1,"2011-10-04 16:37:00",4.13,,"United Kingdom",0,4.13
538252,22624,"IVORY KITCHEN SCALES",2,"2010-12-10 12:29:00",8.5,16019,"United Kingdom",0,17.0
545681,22148,"EASTER CRAFT 4 CHICKS ",2,"2011-03-06 11:28:00",1.95,16923,"United Kingdom",0,3.9
581473,21786,"POLKADOT RAIN HAT ",1,"2011-12-08 19:57:00",0.42,12748,"United Kingdom",0,0.42
563615,21928,"JUMBO BAG SCANDINAVIAN BLUE PAISLEY",10,"2011-08-18 09:01:00",2.08,16945,"United Kingdom",0,20.8
536862,22795,"SWEETHEART RECIPE BOOK STAND",1,"2010-12-03 11:13:00",13.57,,"United Kingdom",0,13.57
571276,46000U,"POLYESTER FILLER PAD 30CMx30CM",4,"2011-10-16 12:30:00",1.25,14702,"United Kingdom",0,5.0
544945,85206A,"CREAM FELT EASTER EGG BASKET",6,"2011-02-25 10:53:00",1.65,17735,"United Kingdom",0,9.8999999999999986
539735,22488,"NATURAL SLATE RECTANGLE CHALKBOARD",1,"2010-12-21 15:17:00",3.36,,"United Kingdom",0,3.36
541289,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",5,"2011-01-17 13:23:00",2.95,14606,"United Kingdom",0,14.75
555854,21700,"BIG DOUGHNUT FRIDGE MAGNETS",3,"2011-06-07 13:47:00",0.85,12748,"United Kingdom",0,2.55
557328,23108,"SET OF 10 LED DOLLY LIGHTS",1,"2011-06-20 09:53:00",6.25,14646,Netherlands,0,6.25
538709,22756,"LARGE YELLOW BABUSHKA NOTEBOOK ",1,"2010-12-14 10:46:00",1.25,16442,"United Kingdom",0,1.25
579301,22749,"FELTCRAFT PRINCESS CHARLOTTE DOLL",1,"2011-11-29 11:32:00",3.75,18118,"United Kingdom",0,3.75
559526,21905,"MORE BUTTER METAL SIGN ",1,"2011-07-10 11:19:00",0.79,15756,"United Kingdom",0,0.79
574239,22670,"FRENCH WC SIGN BLUE METAL",12,"2011-11-03 12:43:00",1.25,14849,"United Kingdom",0,15.0
570465,85099B,"JUMBO BAG RED RETROSPOT",5,"2011-10-10 16:02:00",4.13,,"United Kingdom",0,20.65
551270,22492,"MINI PAINT SET VINTAGE ",36,"2011-04-27 12:35:00",0.65,15891,"United Kingdom",0,23.400000000000002
543293,22619,"SET OF 6 SOLDIER SKITTLES",4,"2011-02-07 11:20:00",3.75,17613,"United Kingdom",0,15.0
543097,21988,"PACK OF 6 SKULL PAPER PLATES",2,"2011-02-03 11:41:00",1.63,,"United Kingdom",0,3.26
570187,23010,"CIRCUS PARADE BABY GIFT SET",2,"2011-10-07 15:09:00",10.79,,"United Kingdom",0,21.58
568220,22077,"6 RIBBONS RUSTIC CHARM",12,"2011-09-26 10:03:00",1.95,15626,"United Kingdom",0,23.4
558119,22352,"LUNCH BOX WITH CUTLERY RETROSPOT ",1,"2011-06-27 09:12:00",4.96,,"United Kingdom",0,4.96
549825,21791,"VINTAGE HEADS AND TAILS CARD GAME ",12,"2011-04-12 12:47:00",1.25,12463,Belgium,0,15.0
564186,22867,"HAND WARMER BIRD DESIGN",12,"2011-08-23 15:20:00",2.1,15755,"United Kingdom",0,25.200000000000003
548874,22805,"BLUE DRAWER KNOB ACRYLIC EDWARDIAN",12,"2011-04-04 15:18:00",1.25,17716,"United Kingdom",0,15.0
546008,22684,"FRENCH BLUE METAL DOOR SIGN 9",1,"2011-03-08 15:43:00",2.46,,"United Kingdom",0,2.46
556890,21033,"JUMBO BAG CHARLIE AND LOLA TOYS",20,"2011-06-15 12:48:00",2.08,17581,"United Kingdom",0,41.6
576394,22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",96,"2011-11-15 10:32:00",2.55,12415,Australia,0,244.79999999999998
568227,84819,"DANISH ROSE ROUND SEWING BOX",1,"2011-09-26 10:57:00",4.25,17841,"United Kingdom",0,4.25
541508,21658,"GLASS  BEURRE DISH",2,"2011-01-18 16:06:00",8.29,,"United Kingdom",0,16.58
544434,22356,"CHARLOTTE BAG PINK POLKADOT",1,"2011-02-18 16:12:00",1.63,,"United Kingdom",0,1.63
567665,23089,"GLASS BON BON JAR",1,"2011-09-21 15:22:00",3.29,,"United Kingdom",0,3.29
558863,22311,"OFFICE MUG WARMER BLACK+SILVER ",2,"2011-07-04 12:28:00",2.95,17243,"United Kingdom",0,5.9
569247,23316,"RED REFECTORY CLOCK ",12,"2011-10-03 10:08:00",8.15,17924,"United Kingdom",0,97.800000000000011
578429,23294,"SET OF 6 SNACK LOAF BAKING CASES",8,"2011-11-24 12:12:00",0.83,16271,"United Kingdom",0,6.64
552669,23154,"SET OF 4 JAM JAR MAGNETS",2,"2011-05-10 15:05:00",2.08,16710,"United Kingdom",0,4.16
556819,23084,"RABBIT NIGHT LIGHT",96,"2011-06-15 10:21:00",1.79,12682,France,0,171.84
553544,15056bl,"EDWARDIAN PARASOL BLACK",1,"2011-05-17 15:36:00",12.46,,"United Kingdom",0,12.46
570230,22339,"CHRISTMAS TREE PAINTED ZINC ",1,"2011-10-09 13:41:00",0.19,18088,"United Kingdom",0,0.19
